iter	Logloss	F1
0	0.6771632715	0.7884693463
1	0.6618456579	0.8009147162
2	0.6488943992	0.8072240803
3	0.6361630073	0.802356722
4	0.6244305975	0.8051703245
5	0.6132280252	0.8070316694
6	0.60371072	0.8065336725
7	0.5945919026	0.805432298
8	0.5865535411	0.8058382432
9	0.5791160339	0.8051426276
10	0.5720458466	0.8077591973
11	0.5648532781	0.8062098501
12	0.5577973102	0.8069048575
13	0.5512390508	0.808847185
14	0.5455696978	0.8083054253
15	0.5405125471	0.8095110156
16	0.5357775244	0.8092485549
17	0.5313293475	0.8103979633
18	0.527146956	0.8097024926
19	0.5238770847	0.8095555852
20	0.5195981098	0.8108108108
21	0.5157893487	0.8107386136
22	0.5125634974	0.8112804063
23	0.5101932356	0.8101028999
24	0.5073772651	0.8095301834
25	0.5039808898	0.8114117332
26	0.5007932879	0.8106731027
27	0.4985366242	0.81459619
28	0.4955528829	0.8133261397
29	0.493508574	0.8135639016
30	0.4914228277	0.8143437077
31	0.4888654197	0.8158356979
32	0.4861679158	0.8141016949
33	0.4836177755	0.813931427
34	0.481370532	0.8135961931
35	0.4793216084	0.8141208418
36	0.4777449485	0.8157680845
37	0.4760863702	0.8152866242
38	0.4744854906	0.8153470716
39	0.4725115914	0.8149355058
40	0.4706167775	0.8156682028
41	0.4691108371	0.8164814313
42	0.4680506059	0.8166418214
43	0.4662677592	0.8173324306
44	0.4646407847	0.818452381
45	0.4627581675	0.8201594379
46	0.4610136515	0.8210469363
47	0.4597514615	0.8200406229
48	0.4584265973	0.8203876915
49	0.4575117516	0.8219512195
50	0.4558019769	0.822095857
51	0.4544421025	0.8224324324
52	0.4532284311	0.8235135135
53	0.4521565844	0.8228927073
54	0.4510747285	0.8226527571
55	0.4498840544	0.8227642276
56	0.4487985959	0.8230988207
57	0.4477035242	0.8238004879
58	0.4463681228	0.8239121594
59	0.4452199634	0.8259515102
60	0.44430497	0.8257924682
61	0.4431169167	0.8266991606
62	0.4421394327	0.8278843556
63	0.441058909	0.8261105092
64	0.440083395	0.8262224028
65	0.4393745927	0.8270819228
66	0.4384527778	0.830290737
67	0.4374244911	0.829004329
68	0.4364147535	0.8310144536
69	0.4355087282	0.8320950966
70	0.4346993706	0.8335581333
71	0.4338708605	0.8343690894
72	0.4331733357	0.8344818268
73	0.4326874421	0.8339653304
74	0.4320393683	0.8345518549
75	0.4313705483	0.8341001353
76	0.4307972353	0.8345752608
77	0.4302939609	0.8353642025
78	0.4296439059	0.8342593847
79	0.4287983634	0.8317261986
80	0.4278347592	0.8330165626
81	0.4269983211	0.8369197456
82	0.4261970085	0.8355700149
83	0.4253753495	0.8344640434
84	0.4245713065	0.8364524003
85	0.4239109739	0.8371273713
86	0.4232443607	0.8364771339
87	0.4226925785	0.8396264718
88	0.4219944836	0.8396967235
89	0.4212688968	0.8385960157
90	0.4207521184	0.8400108284
91	0.420334555	0.8406816338
92	0.419704433	0.8399241603
93	0.4190482412	0.8409798349
94	0.4184448453	0.8419485792
95	0.4180791178	0.8415922015
96	0.417628717	0.8417772961
97	0.4169609084	0.8414353419
98	0.4164756134	0.842333198
99	0.4159429176	0.844125997
100	0.4152601614	0.842972973
101	0.4148279421	0.8430869036
102	0.4140844313	0.8435429344
103	0.4134592724	0.84345826
104	0.4127946203	0.8436275172
105	0.4121935243	0.8445525818
106	0.4116937052	0.8446247465
107	0.410983447	0.8461434554
108	0.410392726	0.8472972973
109	0.4094926139	0.8466738778
110	0.4087586834	0.8466738778
111	0.4081049945	0.8469028942
112	0.4074139617	0.846976052
113	0.4067959095	0.8468614719
114	0.4060735552	0.8479113154
115	0.4057539935	0.8478701826
116	0.4053144167	0.8479848526
117	0.4049386436	0.8485258318
118	0.404605226	0.8481406356
119	0.4040798115	0.8485996482
120	0.4034106872	0.8484848485
121	0.4028772664	0.849025974
122	0.4024347827	0.8492890995
123	0.4016099886	0.8492074245
124	0.4010972043	0.8502912884
125	0.4004851011	0.8500542299
126	0.4001909665	0.8501694915
127	0.3994543086	0.8508736286
128	0.3989799361	0.8526984986
129	0.3985763349	0.8529252438
130	0.3979604226	0.8533875339
131	0.3974984602	0.8545897644
132	0.3970341626	0.8556742865
133	0.3963721978	0.8548212351
134	0.3960643564	0.854316303
135	0.395343884	0.8543531326
136	0.3948975044	0.8552453239
137	0.3944902292	0.8550135501
138	0.3941115277	0.8560205878
139	0.3937076869	0.8562525403
140	0.3933960762	0.8564846185
141	0.3929942837	0.8560575227
142	0.3927865584	0.8565223293
143	0.3922615291	0.8574141907
144	0.3913977261	0.8575305292
145	0.3909307027	0.8573754919
146	0.3903594106	0.8578797339
147	0.39003975	0.8578797339
148	0.3895394648	0.857608253
149	0.3892439105	0.857724681
150	0.3888537051	0.857724681
151	0.3884984765	0.858577633
152	0.3880681485	0.8588107521
153	0.3876658414	0.8592371386
154	0.387389986	0.8593919653
155	0.3869683858	0.8597420231
156	0.386601855	0.8598587724
157	0.3861645165	0.8597420231
158	0.3857421562	0.8604777416
159	0.3854049874	0.8602851324
160	0.3850348917	0.8605188103
161	0.3844045844	0.8598207009
162	0.3841175076	0.8602092107
163	0.3839033722	0.8602092107
164	0.3835048556	0.8598613565
165	0.3828114955	0.8610243173
166	0.3821980596	0.8610243173
167	0.3816713633	0.8613753737
168	0.381217645	0.8611828688
169	0.3809188007	0.8611828688
170	0.3804109381	0.8618814573
171	0.3801468229	0.8618814573
172	0.3799104438	0.8621158553
173	0.3793600008	0.8619986404
174	0.3787482542	0.8617643061
175	0.3784751537	0.8625
176	0.3781702678	0.862308006
177	0.3778253373	0.8628462792
178	0.3775074517	0.8640130417
179	0.3772167955	0.8646300068
180	0.3769689512	0.8639391056
181	0.3763341139	0.8644090847
182	0.3758921864	0.8644897959
183	0.3754378066	0.8641740313
184	0.3749889107	0.8640195812
185	0.3746150498	0.8645635029
186	0.3743617697	0.865334964
187	0.3740441033	0.8661502922
188	0.3736716719	0.8668839989
189	0.3734136532	0.8667300639
190	0.3730636277	0.8669656203
191	0.3729046087	0.8674273295
192	0.3720477887	0.8664583616
193	0.3714531909	0.8665308893
194	0.3712266973	0.8663406683
195	0.3708295551	0.8666938443
196	0.3703146477	0.8679603745
197	0.370045501	0.8679603745
198	0.3695631775	0.8668839989
199	0.3692484868	0.8670017661
200	0.3688855838	0.8681960092
201	0.3683447118	0.867581149
202	0.3681193977	0.8682781097
203	0.3679110439	0.8685853923
204	0.3675583507	0.8685853923
205	0.3672029487	0.8679347826
206	0.3666125979	0.8674731548
207	0.3662326016	0.8678168727
208	0.3660240721	0.8671195652
209	0.3656715538	0.8688102021
210	0.3654636961	0.8689280868
211	0.3651126931	0.8689280868
212	0.3647687964	0.8688925081
213	0.3643598615	0.8692464358
214	0.3640977391	0.8683602771
215	0.3635556071	0.8682528892
216	0.3630999639	0.8705211726
217	0.3628072733	0.8707095374
218	0.3623894678	0.8705338949
219	0.3620309197	0.8704156479
220	0.3617377274	0.8708757637
221	0.3616140151	0.8708757637
222	0.3612912568	0.8706873132
223	0.360936699	0.8712306438
224	0.3603827847	0.8718227538
225	0.360086893	0.8713974986
226	0.3595177594	0.8728951657
227	0.3592510188	0.8730137172
228	0.3590054106	0.8727075126
229	0.3585948642	0.8718227538
230	0.3583165848	0.8729296769
231	0.357842568	0.8720598232
232	0.3576781478	0.8732853456
233	0.3572047484	0.8719760805
234	0.356846217	0.8735070575
235	0.3566933455	0.8735070575
236	0.356440394	0.8730826659
237	0.355998595	0.8732011947
238	0.3557981107	0.8734383487
239	0.3555899804	0.8734383487
240	0.3552939247	0.8733695652
241	0.3551108663	0.8738286025
242	0.354892222	0.8744400706
243	0.3546837469	0.8738628649
244	0.354306511	0.8738286025
245	0.3538615383	0.8742027412
246	0.3534250304	0.8735569741
247	0.3531038575	0.8747455557
248	0.3529524033	0.8747455557
249	0.3527426694	0.8752883702
250	0.3523038195	0.8747622929
251	0.35203002	0.8758648759
252	0.3516385018	0.876626898
253	0.3508759708	0.8752883702
254	0.3504844032	0.8767457627
255	0.3502126638	0.8767457627
256	0.3499089194	0.8767457627
257	0.3494593865	0.877559322
258	0.3490817269	0.8769835888
259	0.3488865738	0.8773214044
260	0.3485564949	0.8771025502
261	0.3482732498	0.8767643865
262	0.3479970461	0.8771025502
263	0.347702724	0.8772215439
264	0.3474673937	0.8783527499
265	0.3471470567	0.8778305085
266	0.3467273554	0.8782007858
267	0.3464217879	0.8790464581
268	0.346126991	0.8791655378
269	0.3457554956	0.8791655378
270	0.3453581577	0.8794153471
271	0.3449481002	0.880227365
272	0.3444578669	0.8801082544
273	0.3441615559	0.880227365
274	0.3438158066	0.8808009742
275	0.3434925822	0.8809201624
276	0.3432220329	0.8818280151
277	0.3430295315	0.8818280151
278	0.3427865084	0.8819472617
279	0.3425482642	0.8818280151
280	0.3423692784	0.8819472617
281	0.3418635287	0.8816447991
282	0.3413085791	0.8819472617
283	0.3409352397	0.8829413355
284	0.3405783329	0.8821858515
285	0.3403158955	0.8826392645
286	0.3399200319	0.8827586207
287	0.3396526075	0.8838151851
288	0.3393682731	0.8845374747
289	0.3389694629	0.8840853823
290	0.3386584137	0.8846569422
291	0.3383146928	0.8840853823
292	0.3382074688	0.8842048372
293	0.3378118525	0.8846569422
294	0.3376007208	0.8831484988
295	0.3372902219	0.8843243243
296	0.3369476313	0.8845945946
297	0.3366261048	0.8832995267
298	0.3363789486	0.8844750709
299	0.3361103037	0.8845945946
300	0.3358609105	0.8844750709
301	0.3354754453	0.8850155384
302	0.3352059742	0.8845633955
303	0.3350029038	0.8855869242
304	0.3346440941	0.8851351351
305	0.3343325851	0.8845633955
306	0.3339546885	0.8850155384
307	0.3337612722	0.8845009467
308	0.3334734912	0.8849222448
309	0.3331014504	0.8857336038
310	0.3327828424	0.8858533946
311	0.3325133847	0.8858533946
312	0.3323207558	0.8857336038
313	0.3318384215	0.8859151122
314	0.3315512074	0.8858225108
315	0.3313005152	0.8861546782
316	0.330947247	0.8861546782
317	0.3307856746	0.8861546782
318	0.3304797319	0.8862745098
319	0.3301953265	0.8862745098
320	0.3299730735	0.8863943738
321	0.3296927666	0.8873867784
322	0.3293853462	0.8872668289
323	0.329040925	0.8872668289
324	0.3288281255	0.8872668289
325	0.3284380226	0.8873867784
326	0.3280954628	0.8873867784
327	0.3277613444	0.8875067604
328	0.3274049465	0.8875067604
329	0.3271308198	0.8875067604
330	0.3269132752	0.8876267748
331	0.3267806165	0.8876267748
332	0.3265014571	0.8877468217
333	0.3261790647	0.8882575758
334	0.3259054543	0.8881374273
335	0.3256350299	0.8881374273
336	0.3252402085	0.8889490058
337	0.3249373833	0.8889490058
338	0.3247160173	0.8888287801
339	0.3244684654	0.8889490058
340	0.3242473497	0.8889490058
341	0.323988859	0.8889490058
342	0.3237109396	0.8891895549
343	0.3232787314	0.8890692641
344	0.3230174564	0.8894302341
345	0.3226881089	0.8895506226
346	0.3224170398	0.8889791497
347	0.3221865012	0.8890995261
348	0.3218361006	0.8894302341
349	0.3215747213	0.8897307536
350	0.3212659069	0.8894302341
351	0.3210061361	0.8897307536
352	0.320708228	0.8897307536
353	0.3204301786	0.8901515152
354	0.3201738203	0.8899715794
355	0.3199510753	0.8902719524
356	0.3196150798	0.8908131511
357	0.319279925	0.8906334597
358	0.3188716749	0.89006228
359	0.31858961	0.8905129246
360	0.3183722576	0.8903033586
361	0.3181281222	0.8906652215
362	0.3179458517	0.8911454102
363	0.3175986715	0.8911454102
364	0.3174396185	0.8910247733
365	0.3170096599	0.8908154972
366	0.3167426431	0.8908154972
367	0.3164050352	0.8911454102
368	0.3160783662	0.8912660799
369	0.3159262531	0.8911454102
370	0.3156210528	0.8928861239
371	0.315297577	0.8932485455
372	0.3148651311	0.8932485455
373	0.3145861704	0.8946015424
374	0.3142837988	0.8949290061
375	0.3138274554	0.8944805195
376	0.3133800467	0.8953850318
377	0.313007895	0.8956557044
378	0.3127303946	0.8957769356
379	0.3123593365	0.8970369368
380	0.3120946354	0.8969155844
381	0.3117643764	0.8976441917
382	0.3114560911	0.8974011911
383	0.3111438526	0.8974011911
384	0.3107688799	0.8976441917
385	0.3105608943	0.8978873239
386	0.3103351649	0.8976441917
387	0.3100855504	0.8976441917
388	0.3098810664	0.8978873239
389	0.3096391012	0.8986605331
390	0.3093628212	0.898782138
391	0.3090795185	0.8991471504
392	0.3086270274	0.8990254467
393	0.3081370166	0.8996212121
394	0.3079656869	0.899377874
395	0.3078070272	0.899864682
396	0.3074520465	0.8996212121
397	0.3072034178	0.9001893427
398	0.3070239133	0.9000676133
399	0.3067551362	0.9001893427
400	0.306555968	0.9008789723
401	0.3062624008	0.9011226836
402	0.3059408542	0.9007716258
403	0.3056129895	0.9013665269
404	0.3054727447	0.9008935825
405	0.3053439574	0.901488498
406	0.3050953672	0.901488498
407	0.3048419926	0.9007716258
408	0.3045803421	0.9007716258
409	0.3041810346	0.902178325
410	0.3038608809	0.9018546094
411	0.3034676477	0.902178325
412	0.3031656992	0.9025974026
413	0.3030135617	0.9025974026
414	0.3027087074	0.9021518473
415	0.3025070395	0.90202977
416	0.3021456054	0.9023532594
417	0.3017580292	0.9024753145
418	0.3014251719	0.9027195237
419	0.3012418439	0.9020032485
420	0.3009432618	0.9020032485
421	0.3007004083	0.9028416779
422	0.3002826914	0.9034352177
423	0.2999847278	0.9036796537
424	0.2995873422	0.9039242219
425	0.2993524179	0.9036796537
426	0.2990030451	0.9039242219
427	0.2987219336	0.9039242219
428	0.2985010497	0.9039242219
429	0.2982767727	0.9038019213
430	0.2980502346	0.9040465557
431	0.2978353961	0.9041689226
432	0.2976476312	0.9040465557
