iter	Passed	Remaining
0	8	8684
1	14	7242
2	19	6544
3	24	5983
4	30	6141
5	37	6178
6	42	6011
7	47	5853
8	52	5777
9	58	5814
10	65	5923
11	72	6006
12	78	5989
13	83	5915
14	90	5951
15	96	5949
16	103	5960
17	109	5960
18	116	5989
19	122	5996
20	129	6036
21	135	6007
22	141	6018
23	147	5996
24	153	5986
25	159	5964
26	165	5958
27	171	5953
28	178	5977
29	185	6000
30	192	6021
31	198	6000
32	203	5953
33	209	5952
34	215	5954
35	222	5957
36	228	5959
37	234	5942
38	241	5939
39	247	5941
40	251	5889
41	258	5893
42	265	5903
43	515	11204
44	515	11204
45	515	11204
46	1673	35437
47	2874	59492
48	4132	83611
49	5432	107512
50	6692	129624
51	7971	151137
52	9238	171542
53	9971	181405
54	9989	178122
55	10039	175497
56	10050	172328
57	10060	169224
58	10067	166196
59	10073	163259
60	10079	160416
61	10086	157689
62	10094	155058
63	10099	152464
64	10105	149983
65	10111	147562
66	10117	145232
67	10125	142978
68	10132	140791
69	10138	138659
70	10145	136603
71	10148	134543
72	10151	132547
73	10156	130617
74	10158	128717
75	10162	126896
76	10166	125117
77	10172	123404
78	10178	121741
79	10181	120090
80	10185	118490
81	10190	116935
82	10195	115419
83	10199	113930
84	10203	112484
85	10207	111072
86	10210	109671
87	10212	108304
88	10215	106965
89	10217	105659
90	10220	104387
91	10223	103139
92	10226	101930
93	10231	100760
94	10235	99599
95	10238	98461
96	10242	97359
97	10245	96263
98	10248	95193
99	10251	94145
100	10255	93123
101	10257	92116
102	10260	91121
103	10263	90156
104	10265	89200
105	10270	88286
106	10274	87379
107	10277	86483
108	10280	85607
109	10283	84742
110	10287	83902
111	10290	83074
112	10292	82251
113	10295	81441
114	10297	80645
115	10300	79872
116	10303	79114
117	10305	78359
118	10308	77623
119	10311	76902
120	10315	76192
121	10317	75493
122	10320	74800
123	10323	74124
124	10327	73465
125	10331	72819
126	10333	72171
127	10336	71535
128	10339	70912
129	10343	70304
130	10346	69700
131	10349	69101
132	10353	68523
133	10356	67947
134	10359	67376
135	10362	66814
136	10365	66262
137	10367	65713
138	10370	65177
139	10373	64647
140	10376	64124
141	10379	63609
142	10381	63100
143	10384	62597
144	10386	62101
145	10389	61613
146	10392	61137
147	10394	60660
148	10398	60197
149	10403	59748
150	10407	59299
151	10412	58862
152	10416	58431
153	10422	58008
154	10426	57585
155	10430	57166
156	10434	56751
157	10441	56355
158	10448	55969
159	10484	55739
160	10490	55356
161	10495	54969
162	10502	54598
163	10508	54228
164	10512	53850
165	10514	53470
166	10517	53096
167	10521	52733
168	10523	52367
169	10526	52007
170	10529	51650
171	10534	51307
172	10537	50959
173	10539	50615
174	10543	50280
175	10546	49944
176	10551	49623
177	10554	49294
178	10557	48967
179	10559	48642
180	10561	48321
181	10563	48006
182	10566	47694
183	10568	47384
184	10571	47082
185	10575	46784
186	10578	46486
187	10581	46194
188	10584	45905
189	10587	45616
190	10590	45330
191	10592	45045
192	10595	44765
193	10600	44499
194	10602	44222
195	10605	43952
196	10608	43684
197	10611	43421
198	10614	43157
199	10616	42893
200	10618	42635
201	10620	42377
202	10624	42128
203	10628	41881
204	10630	41633
205	10634	41391
206	10637	41148
207	10640	40908
208	10643	40670
209	10646	40436
210	10649	40202
211	10652	39971
212	10655	39743
213	10659	39518
214	10662	39295
215	10665	39075
216	10670	38859
217	10673	38642
218	10676	38425
219	10679	38211
220	10683	38001
221	10686	37790
222	10689	37584
223	10692	37374
224	10694	37166
225	10697	36963
226	10699	36759
227	10703	36563
228	10706	36363
229	10708	36163
230	10710	35966
231	10713	35772
232	10716	35581
233	10719	35393
234	10722	35206
235	10727	35024
236	10731	34842
237	10734	34660
238	10737	34477
239	10740	34297
240	10743	34117
241	10746	33940
242	10748	33762
243	10752	33589
244	10754	33414
245	10758	33245
246	10761	33075
247	10763	32904
248	10766	32735
249	10768	32567
250	10771	32401
251	10774	32236
252	10777	32074
253	10781	31915
254	10783	31754
255	10786	31596
256	10789	31436
257	10793	31284
258	10796	31130
259	10799	30974
260	10801	30819
261	10804	30668
262	10807	30517
263	10810	30369
264	10813	30220
265	10816	30074
266	10819	29928
267	10822	29782
268	10825	29638
269	10828	29496
270	10832	29356
271	10835	29216
272	10838	29074
273	10840	28933
274	10843	28795
275	10846	28660
276	10850	28525
277	10852	28389
278	10855	28255
279	10859	28124
280	10862	27993
281	10865	27862
282	10867	27730
283	10869	27598
284	10872	27470
285	10875	27342
286	10880	27220
287	10883	27094
288	10885	26967
289	10889	26845
290	10892	26723
291	10895	26601
292	10899	26479
293	10902	26360
294	10904	26238
295	10908	26120
296	10911	26003
297	10914	25885
298	10917	25767
299	10921	25653
300	10927	25545
301	10933	25439
302	10938	25329
303	10942	25219
304	10947	25109
305	10950	24999
306	10953	24886
307	10956	24776
308	10958	24665
309	10960	24554
310	10963	24445
311	10966	24338
312	10968	24229
313	10971	24123
314	10973	24016
315	10977	23913
316	10980	23809
317	10983	23705
318	10986	23601
319	10988	23498
320	10992	23396
321	10995	23297
322	10998	23196
323	11001	23096
324	11003	22995
325	11006	22895
326	11008	22795
327	11010	22696
328	11013	22600
329	11017	22505
330	11021	22411
331	11024	22315
332	11027	22221
333	11030	22127
334	11033	22033
335	11035	21939
336	11037	21845
337	11040	21753
338	11044	21661
339	11047	21571
340	11049	21480
341	11051	21388
342	11055	21300
343	11057	21209
344	11060	21121
345	11063	21032
346	11065	20944
347	11068	20857
348	11071	20770
349	11074	20685
350	11077	20599
351	11079	20512
352	11082	20427
353	11084	20342
354	11087	20259
355	11090	20175
356	11094	20094
357	11097	20012
358	11100	19930
359	11103	19850
360	11106	19769
361	11110	19690
362	11113	19610
363	11116	19530
364	11119	19451
365	11123	19375
366	11126	19296
367	11130	19219
368	11134	19143
369	11135	19064
370	11139	18988
371	11142	18911
372	11145	18836
373	11148	18760
374	11150	18684
375	11153	18608
376	11156	18534
377	11158	18459
378	11161	18385
379	11165	18313
380	11168	18240
381	11170	18167
382	11174	18096
383	11176	18023
384	11180	17953
385	11183	17881
386	11186	17811
387	11189	17740
388	11192	17670
389	11194	17599
390	11198	17531
391	11201	17463
