iter	Logloss	F1
0	0.6639845163	0.7910685805
1	0.6377066777	0.7995708922
2	0.615183988	0.8006497609
3	0.596705938	0.8058209088
4	0.5817161028	0.8068446515
5	0.5666700656	0.8081421302
6	0.5553878113	0.8063943162
7	0.5452340205	0.8076339963
8	0.5359179831	0.8037017263
9	0.5285607647	0.80731664
10	0.5218425144	0.8091982598
11	0.5147575157	0.8088967972
12	0.5089490972	0.8139659803
13	0.5022327497	0.8136017897
14	0.4963409713	0.8131457072
15	0.492120562	0.8141307272
16	0.487054414	0.8150346192
17	0.4831923717	0.8195987101
18	0.4793611865	0.8181003584
19	0.4768755483	0.8169342542
20	0.4737870185	0.8205908684
21	0.4698237648	0.8209959623
22	0.4672937065	0.8189344852
23	0.4644986007	0.8173944424
24	0.4616760671	0.8195420948
25	0.4594395286	0.817951502
26	0.4569269777	0.8192836469
27	0.4547394431	0.8193011045
28	0.4527630212	0.8194671017
29	0.4504951226	0.8194909881
30	0.4488526447	0.8217741206
31	0.4472289024	0.82082806
32	0.4449802171	0.8213574661
33	0.443316288	0.8216745198
34	0.4411045593	0.8228808964
35	0.439075468	0.8257145433
36	0.4368439064	0.8260162602
37	0.4354963463	0.8258508327
38	0.4338888854	0.8268519354
39	0.4320672923	0.8267196963
40	0.4305927726	0.8275488069
41	0.4290971312	0.8279414423
42	0.4277666765	0.8288987102
43	0.4265614356	0.8306335493
44	0.4255010252	0.8300153139
45	0.4238252391	0.8313513514
46	0.4229466418	0.8318615967
47	0.4216434539	0.8342342342
48	0.4206270077	0.8345661194
49	0.4198012382	0.8330623306
50	0.4184948518	0.8359177786
51	0.4171935257	0.8374606033
52	0.4165333796	0.8362061186
53	0.4159042301	0.836861544
54	0.414911363	0.8397124888
55	0.4140957359	0.8394817347
56	0.4129001927	0.8392503154
57	0.4115060473	0.8419726422
58	0.4102733089	0.8434407054
59	0.4085871205	0.8448524118
60	0.4075705303	0.8449236298
61	0.4066145196	0.8458355819
62	0.4056715218	0.8457943925
63	0.4048255276	0.8468031609
64	0.4036457506	0.8475642639
65	0.4029052063	0.8481092248
66	0.4020486961	0.8478143551
67	0.4014045445	0.8478690883
68	0.4006302275	0.8489040604
69	0.3999268343	0.8488988764
70	0.3987320478	0.8491770843
71	0.397414231	0.850161696
72	0.3968208915	0.8503370787
73	0.3959820984	0.8514424373
74	0.3954903014	0.8515456506
75	0.3947880916	0.8513161441
76	0.3940719511	0.8514691347
77	0.3932159582	0.8523882342
78	0.3926250665	0.8528274746
79	0.3916855888	0.8542433767
80	0.3904703786	0.8549329976
81	0.3898402417	0.8539022414
82	0.3890062758	0.8546223783
83	0.3881114517	0.8570144693
84	0.3872477933	0.8564231738
85	0.3868298121	0.8565002249
86	0.3860646046	0.8578876404
87	0.3854352785	0.8576054691
88	0.3844418818	0.8588383384
89	0.383758146	0.8591966933
90	0.3830134988	0.8591726619
91	0.3823583498	0.8585313175
92	0.3815998974	0.8596364945
93	0.3811035163	0.859481828
94	0.3803084477	0.8598147649
95	0.3796304052	0.8612259572
96	0.3793094442	0.8606387764
97	0.3786831633	0.8611510791
98	0.3780483244	0.8626324295
99	0.3773191871	0.8624595469
100	0.3767222163	0.8621278892
101	0.3758862207	0.8623572777
102	0.3752494927	0.8625865013
103	0.3747273734	0.8634115637
104	0.3742459705	0.8634115637
105	0.3733477274	0.8643595506
106	0.3725822419	0.8649037597
107	0.3719600437	0.8649037597
108	0.3711581582	0.8648551377
109	0.3702991186	0.865725335
110	0.3695228863	0.8662408923
111	0.3686168311	0.8665467626
112	0.3680291473	0.8666486827
113	0.3677099563	0.8659886599
114	0.3671990281	0.8660722327
115	0.3667461172	0.8655128899
116	0.3658697779	0.8666606644
117	0.3654891409	0.8676801295
118	0.3650900153	0.8683689984
119	0.3644511563	0.8677886779
120	0.3638518667	0.8692916217
121	0.3632251979	0.8676152738
122	0.3624131934	0.8699091972
123	0.3614646638	0.8710575973
124	0.3609412937	0.8718225097
125	0.3605400917	0.8717764399
126	0.3598615103	0.8722142344
127	0.3589321774	0.8730572276
128	0.3584250389	0.8741020115
129	0.3579640089	0.8732824427
130	0.3567176431	0.8737532573
131	0.3557389868	0.8739103083
132	0.3548882665	0.8736747529
133	0.3544810905	0.8740567733
134	0.3539645227	0.8756397594
135	0.3535371018	0.8750336897
136	0.3532534954	0.8748426542
137	0.3526191347	0.8756853933
138	0.3516365131	0.876134016
139	0.351352479	0.8767517068
140	0.3511108665	0.8762127201
141	0.3505510872	0.8764489172
142	0.3502143258	0.8762914383
143	0.3497005511	0.8765942159
144	0.3486835978	0.8780181312
145	0.3481689319	0.8790026011
146	0.3476591936	0.8790814496
147	0.3471362093	0.8790026011
148	0.3464868252	0.8792391889
149	0.3459656241	0.8793041607
150	0.345449396	0.8792964193
151	0.344911938	0.8796121734
152	0.3444319115	0.8796121734
153	0.3438880558	0.8814774969
154	0.3432232317	0.881097561
155	0.3426364302	0.88101856
156	0.3421689633	0.8809395732
157	0.3415595358	0.8821422174
158	0.3406508176	0.8816992293
159	0.3403137502	0.8805595409
160	0.3397495246	0.8820154205
