iter	Passed	Remaining
0	4	4403
1	7	3692
2	10	3367
3	12	3132
4	15	3052
5	18	3032
6	21	3024
7	24	3065
8	28	3117
9	31	3109
10	34	3126
11	37	3122
12	40	3097
13	43	3065
14	47	3110
15	49	3070
16	53	3075
17	55	3054
18	59	3066
19	62	3051
20	65	3032
21	68	3023
22	70	3008
23	73	2993
24	76	2982
25	79	2974
26	82	2976
27	85	2971
28	88	2947
29	90	2941
30	94	2948
31	96	2931
32	99	2921
33	102	2911
34	105	2900
35	108	2893
36	110	2886
37	113	2878
38	116	2881
39	119	2879
40	122	2868
41	125	2858
42	128	2857
43	131	2847
44	133	2835
45	136	2823
46	139	2818
47	141	2812
48	144	2804
49	147	2797
50	150	2792
51	153	2806
52	156	2799
53	159	2788
54	162	2788
55	165	2782
56	167	2773
57	171	2787
58	174	2780
59	177	2773
60	179	2764
61	182	2760
62	185	2753
63	187	2745
64	190	2738
65	193	2739
66	196	2730
67	199	2729
68	201	2724
69	204	2716
70	206	2707
71	210	2717
72	215	2735
73	220	2759
74	225	2781
75	232	2821
76	236	2830
77	242	2861
78	247	2886
79	252	2898
80	257	2922
81	261	2924
82	264	2918
83	270	2944
84	274	2950
85	278	2959
86	284	2980
87	290	3015
88	294	3018
89	301	3049
90	306	3064
91	311	3072
92	327	3197
93	332	3205
94	342	3264
95	345	3256
96	348	3242
97	350	3228
98	359	3270
99	365	3290
100	382	3408
101	436	3842
102	439	3825
103	441	3805
104	444	3787
105	450	3798
106	455	3799
107	457	3781
108	460	3763
109	463	3749
110	466	3732
111	468	3715
112	471	3699
113	473	3682
114	479	3691
115	484	3690
116	495	3735
117	497	3720
118	500	3705
119	510	3741
120	514	3733
121	517	3725
122	520	3709
123	522	3693
124	525	3679
125	528	3664
126	533	3666
127	535	3650
128	538	3637
129	541	3623
130	554	3679
131	561	3691
132	567	3700
133	582	3765
134	585	3750
135	587	3735
136	590	3719
137	593	3707
138	596	3693
139	598	3678
140	601	3664
141	608	3676
142	615	3686
143	617	3671
144	620	3657
145	623	3644
146	648	3763
147	757	4360
148	760	4341
149	832	4718
150	835	4696
151	841	4693
152	843	4671
153	846	4650
154	852	4649
155	860	4657
156	914	4909
157	921	4910
158	949	5024
159	956	5022
160	1002	5223
161	1014	5247
162	1029	5288
163	1032	5264
164	1069	5413
165	1080	5426
166	1104	5508
167	1122	5557
168	1124	5531
169	1127	5506
170	1130	5481
171	1146	5520
172	1149	5495
173	1152	5470
174	1163	5487
175	1197	5604
176	1199	5579
177	1203	5559
178	1231	5649
179	1234	5624
180	1237	5599
181	1240	5574
182	1268	5664
183	1281	5681
184	1311	5777
185	1317	5766
186	1334	5800
187	1336	5774
188	1350	5795
189	1353	5770
190	1356	5744
191	1379	5803
192	1385	5792
193	1405	5839
194	1408	5814
195	1411	5789
196	1440	5872
197	1447	5861
198	1471	5923
199	1476	5904
200	1479	5879
201	1481	5854
202	1509	5926
203	1524	5948
204	1527	5922
205	1530	5897
206	1546	5925
207	1552	5913
208	1566	5927
209	1569	5902
210	1590	5947
211	1607	5973
212	1609	5948
213	1612	5923
214	1615	5898
215	1655	6009
216	1658	5984
217	1661	5960
218	1664	5935
219	1691	5996
220	1696	5980
221	1699	5955
222	1705	5943
223	1728	5988
224	1731	5964
225	1734	5939
226	1762	6002
227	1766	5982
228	1789	6025
229	1797	6016
230	1839	6124
231	1842	6100
232	1846	6077
233	1854	6070
234	1857	6045
235	1860	6021
236	1862	5997
237	1894	6065
238	1900	6050
239	1921	6085
240	1928	6073
241	1976	6190
242	1979	6167
243	1982	6143
244	2016	6213
245	2022	6198
246	2045	6234
247	2059	6244
248	2062	6219
249	2083	6250
250	2091	6240
251	2114	6275
252	2120	6260
253	2123	6236
254	2126	6212
255	2156	6268
256	2170	6274
257	2173	6250
258	2176	6226
259	2179	6201
260	2204	6240
261	2217	6247
262	2244	6289
263	2247	6265
264	2266	6285
265	2271	6267
266	2276	6249
267	2279	6225
268	2282	6201
269	2305	6232
270	2313	6223
271	2347	6284
272	2350	6259
273	2353	6235
274	2373	6258
275	2407	6314
276	2410	6290
277	2412	6266
278	2415	6242
279	2435	6262
280	2438	6238
281	2441	6215
282	2443	6191
283	2456	6191
284	2467	6190
285	2476	6182
286	2506	6227
287	2509	6203
288	2512	6180
289	2514	6157
290	2539	6186
291	2567	6224
292	2570	6201
293	2572	6178
294	2596	6206
295	2603	6192
296	2609	6177
297	2626	6187
298	2630	6166
299	2639	6157
300	2651	6157
301	2680	6194
302	2694	6198
303	2703	6190
304	2724	6208
305	2731	6194
306	2734	6172
307	2771	6226
308	2777	6212
309	2795	6222
310	2801	6206
311	2816	6210
312	2819	6187
313	2821	6165
314	2902	6311
315	2929	6340
316	2939	6333
317	2942	6310
318	2966	6333
319	2982	6337
320	2984	6313
321	3006	6329
322	3043	6379
323	3046	6356
324	3060	6355
325	3062	6332
326	3093	6365
327	3095	6342
328	3098	6319
329	3101	6297
330	3121	6309
331	3124	6286
332	3127	6263
333	3148	6277
334	3154	6261
335	3159	6243
336	3165	6227
337	3212	6292
338	3218	6276
339	3242	6293
340	3244	6271
341	3247	6248
342	3290	6302
343	3297	6288
344	3329	6321
345	3343	6319
346	3346	6297
347	3348	6274
348	3351	6252
349	3357	6235
350	3381	6252
351	3389	6238
352	3391	6216
353	3394	6194
354	3402	6181
355	3420	6187
356	3443	6201
357	3446	6180
358	3449	6158
359	3498	6219
360	3504	6203
361	3509	6184
362	3511	6162
363	3514	6141
364	3517	6119
365	3523	6104
366	3558	6138
367	3583	6154
368	3586	6133
369	3589	6112
370	3592	6090
371	3618	6108
372	3626	6095
373	3628	6073
374	3633	6056
375	3636	6035
376	3639	6014
377	3653	6011
378	3655	5990
379	3658	5969
380	3661	5948
381	3702	5989
382	3705	5969
383	3708	5948
384	3717	5938
385	3720	5918
386	3723	5898
387	3764	5938
388	3767	5917
389	3770	5897
390	3773	5877
391	3779	5862
392	3783	5843
393	3803	5850
394	3837	5877
395	3840	5858
396	3843	5837
397	3846	5817
398	3876	5839
399	3894	5842
400	3897	5822
401	3901	5803
402	3907	5789
403	3915	5775
404	3961	5820
405	3966	5802
406	3991	5816
407	4002	5808
408	4071	5882
409	4080	5872
410	4085	5854
411	4101	5854
412	4133	5874
413	4152	5877
414	4159	5863
415	4165	5847
416	4199	5870
417	4212	5864
418	4225	5859
419	4240	5855
420	4243	5835
421	4246	5815
422	4276	5833
423	4283	5818
424	4294	5810
425	4301	5795
426	4306	5778
427	4309	5758
428	4311	5739
429	4348	5764
430	4356	5750
431	4359	5732
432	4362	5712
433	4365	5693
434	4406	5722
435	4412	5707
436	4429	5707
437	4454	5715
438	4458	5697
439	4461	5678
440	4464	5659
441	4477	5652
442	4506	5665
443	4519	5659
444	4522	5640
445	4536	5635
446	4539	5616
447	4542	5596
448	4556	5591
449	4559	5572
450	4562	5553
451	4611	5590
452	4614	5571
453	4637	5577
454	4640	5558
455	4643	5539
456	4646	5520
457	4661	5516
458	4668	5503
459	4671	5484
460	4674	5465
461	4688	5460
462	4691	5441
463	4702	5432
464	4713	5423
465	4716	5404
466	4719	5385
467	4722	5368
468	4725	5349
469	4727	5331
470	4730	5313
471	4733	5294
472	4736	5276
473	4738	5258
474	4741	5240
475	4744	5222
476	4746	5204
477	4749	5186
478	4752	5169
479	4755	5151
